Value,AFRICA_2024_DynamicWorld_2024_37PDL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDL_M_R,AFRICA_2024_GSW_Yearly_2021_37PDL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,AFRICA_2024_WorldCover_2021_37PDL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
27,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
28,NULL,NULL,Grassland,Water,Non_Wetland,Water
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
38,NULL,NULL,Cropland,Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
42,NULL,NULL,Cropland,Water,Non_Wetland,Water
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Bareland,NULL,Non_Wetland,Water
54,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
58,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
60,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
61,NULL,NULL,Bareland,Water,Non_Wetland,Water
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
63,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
68,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
69,NULL,NULL,Water,NULL,Water,Grassland
70,NULL,NULL,Water,NULL,Water,Cropland
71,NULL,NULL,Water,NULL,Water,Bareland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
80,NULL,NULL,Forest,Water,Non_Wetland,Grassland
81,NULL,NULL,Forest,Water,Non_Wetland,Cropland
82,NULL,NULL,Forest,Water,Non_Wetland,Bareland
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
86,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
87,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
89,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
90,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
100,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
101,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
102,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
103,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
111,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
112,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
113,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
114,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
115,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
