Value,AFRICA_2024_DynamicWorld_2024_38PKV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKV_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKV_M_R,AFRICA_2024_GSW_Yearly_2021_38PKV_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKV_M_R,AFRICA_2024_WorldCover_2021_38PKV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
9,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
14,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
15,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
19,NULL,NULL,Wetland,NULL,Wetland,NULL
20,NULL,NULL,Wetland,NULL,Wetland,Cropland
21,NULL,NULL,Wetland,NULL,Wetland,Bareland
22,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
23,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
24,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
25,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
30,NULL,NULL,Bareland,Water,Non_Wetland,NULL
31,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
32,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
33,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
34,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
36,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
37,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
38,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
39,NULL,NULL,Water,Water,NULL,Bareland
40,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
41,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
42,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
43,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
44,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
45,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
46,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
47,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
48,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
49,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
50,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
51,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
52,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
53,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
54,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
55,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
57,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
58,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
59,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
60,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
61,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
62,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
63,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
64,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
65,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
66,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
67,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
68,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
69,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
70,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
71,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
72,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
73,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
74,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
75,NULL,Bareland,Water,Water,Water,Built-up
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
79,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
80,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
81,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
82,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
83,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
87,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
88,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
89,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
90,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
91,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
92,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
93,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
94,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
95,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
96,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
97,NULL,Built-up,Wetland,Water,NULL,Bareland
98,NULL,Built-up,Wetland,Water,NULL,Water
99,NULL,Built-up,Wetland,Water,Wetland,Bareland
100,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
101,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
102,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
103,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
104,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
106,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
107,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
108,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
109,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
110,NULL,Built-up,Bareland,Water,Non_Wetland,Water
111,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
112,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
113,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
114,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
117,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
118,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
119,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
120,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
121,NULL,Built-up,Water,Water,NULL,Bareland
122,NULL,Built-up,Water,Water,Water,Bareland
123,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
124,NULL,Water,Water,Water,NULL,Bareland
125,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
126,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
127,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
128,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
129,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
130,Grassland,NULL,Wetland,NULL,Wetland,Wetland
131,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
132,Grassland,NULL,Wetland,Water,Wetland,Wetland
133,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
134,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
135,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
136,Grassland,Wetland,Cropland,Water,Non_Wetland,Water
137,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
138,Grassland,Wetland,Wetland,NULL,Wetland,Water
139,Grassland,Wetland,Wetland,Water,Wetland,Wetland
140,Grassland,Wetland,Wetland,Water,Wetland,Water
141,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
142,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water
143,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
144,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
145,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
146,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland
147,Grassland,Wetland,Built-up,Water,Non_Wetland,Water
148,Grassland,Wetland,Water,Water,Water,Wetland
149,Grassland,Wetland,Water,Water,Water,Water
150,Grassland,Bareland,Wetland,Water,Wetland,Wetland
151,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
152,Grassland,Water,Cropland,Water,Non_Wetland,Wetland
153,Grassland,Water,Wetland,NULL,Wetland,Wetland
154,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
155,Grassland,Water,Wetland,Water,Wetland,Wetland
156,Grassland,Water,Wetland,Water,Wetland,Water
157,Grassland,Water,Bareland,Water,Non_Wetland,Wetland
158,Grassland,Water,Bareland,Water,Non_Wetland,Water
159,Grassland,Water,Built-up,Water,Non_Wetland,Wetland
160,Grassland,Water,Water,Water,Water,Wetland
161,Grassland,Water,Water,Water,Water,Water
162,Grassland,Forest,Wetland,NULL,Wetland,Wetland
163,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
164,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
165,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
166,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
167,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
168,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
169,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
170,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
171,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
172,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
173,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
174,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
175,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
176,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
177,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
178,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
179,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
180,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
181,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
182,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
183,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
184,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
185,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
186,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
187,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
188,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
189,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
190,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
191,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
192,Cropland,NULL,Wetland,NULL,Wetland,Wetland
193,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
194,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
195,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
196,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
197,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
198,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
199,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
200,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
201,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
202,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
203,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
204,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
205,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
206,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
207,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
208,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
209,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
210,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
211,Cropland,NULL,Water,Water,Water,Wetland
212,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
213,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
214,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
215,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
216,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
217,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
218,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
219,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
220,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
221,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
222,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
223,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
224,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
225,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
226,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
227,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
228,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
229,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
230,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
231,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
232,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
233,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
234,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
235,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
236,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
