Value,AFRICA_2024_DynamicWorld_2024_36PUT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUT_M_R,AFRICA_2024_GSW_Yearly_2021_36PUT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUT_M_R,AFRICA_2024_WorldCover_2021_36PUT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
48,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
49,NULL,NULL,Cropland,Water,Non_Wetland,Water
50,NULL,NULL,Cropland,Water,Non_Wetland,Forest
51,NULL,NULL,Wetland,NULL,Wetland,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,Forest
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
63,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
70,NULL,NULL,Water,NULL,Water,Grassland
71,NULL,NULL,Water,NULL,Water,Bareland
72,NULL,NULL,Water,Non_Water,Water,Grassland
73,NULL,NULL,Water,Non_Water,Water,Bareland
74,NULL,NULL,Water,Water,Water,Grassland
75,NULL,NULL,Water,Water,Water,Bareland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
79,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
80,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
81,NULL,NULL,Forest,NULL,Non_Wetland,Forest
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
86,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
87,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
96,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
105,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
106,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
107,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
116,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
118,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
119,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
