Value,AFRICA_2024_DynamicWorld_2024_36PWS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWS_M_R,AFRICA_2024_GSW_Yearly_2021_36PWS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWS_M_R,AFRICA_2024_WorldCover_2021_36PWS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
45,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
46,NULL,NULL,Wetland,NULL,Wetland,Forest
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Water
51,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
52,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
54,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
56,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
60,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
61,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
65,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
66,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
67,NULL,NULL,Forest,NULL,Non_Wetland,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
72,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
73,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
85,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
86,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
87,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
91,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
98,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
99,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
100,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Water,Water,Water,Water
103,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
104,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
107,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
108,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
109,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
110,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
112,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
113,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
114,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
115,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Wetland,Wetland,Water,Wetland,Water
118,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
