Value,AFRICA_2024_DynamicWorld_2024_37PBM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBM_M_R,AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,AFRICA_2024_WorldCover_2021_37PBM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Cropland,NULL,Non_Wetland,Water
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
48,NULL,NULL,Cropland,Water,Non_Wetland,Forest
49,NULL,NULL,Wetland,Water,Wetland,Grassland
50,NULL,NULL,Wetland,Water,Wetland,Cropland
51,NULL,NULL,Wetland,Water,Wetland,Forest
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
61,NULL,NULL,Bareland,NULL,Non_Wetland,Water
62,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
66,NULL,NULL,Bareland,Water,Non_Wetland,NULL
67,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
68,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
69,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
70,NULL,NULL,Bareland,Water,Non_Wetland,Water
71,NULL,NULL,Bareland,Water,Non_Wetland,Forest
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
77,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
78,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
82,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
83,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
84,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
85,NULL,NULL,Forest,NULL,Non_Wetland,Water
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Forest,Water,Non_Wetland,NULL
92,NULL,NULL,Forest,Water,Non_Wetland,Grassland
93,NULL,NULL,Forest,Water,Non_Wetland,Cropland
94,NULL,NULL,Forest,Water,Non_Wetland,Forest
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
96,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
99,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
100,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
101,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
110,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
