Value,AFRICA_2024_DynamicWorld_2024_37PEP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEP_M_R,AFRICA_2024_GSW_Yearly_2021_37PEP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEP_M_R,AFRICA_2024_WorldCover_2021_37PEP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Water
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Cropland,Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,NULL
43,NULL,NULL,Wetland,NULL,Wetland,Cropland
44,NULL,NULL,Wetland,NULL,Wetland,Bareland
45,NULL,NULL,Wetland,NULL,Wetland,Forest
46,NULL,NULL,Wetland,Water,Wetland,Forest
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
59,NULL,NULL,Bareland,NULL,Non_Wetland,Water
60,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,NULL
65,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
66,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
67,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
68,NULL,NULL,Bareland,Water,Non_Wetland,Water
69,NULL,NULL,Bareland,Water,Non_Wetland,Forest
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
71,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
75,NULL,NULL,Built-up,NULL,Non_Wetland,Water
76,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Water,NULL,Water,NULL
79,NULL,NULL,Water,NULL,Water,Grassland
80,NULL,NULL,Water,NULL,Water,Cropland
81,NULL,NULL,Water,NULL,Water,Bareland
82,NULL,NULL,Water,NULL,Water,Forest
83,NULL,NULL,Water,Water,Water,Grassland
84,NULL,NULL,Water,Water,Water,Water
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL
86,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
88,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
89,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
90,NULL,NULL,Forest,NULL,Non_Wetland,Water
91,NULL,NULL,Forest,NULL,Non_Wetland,Forest
92,NULL,NULL,Forest,Water,Non_Wetland,NULL
93,NULL,NULL,Forest,Water,Non_Wetland,Grassland
94,NULL,NULL,Forest,Water,Non_Wetland,Cropland
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
96,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
99,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
100,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
101,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
