Value,AFRICA_2024_DynamicWorld_2024_37PHP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHP_M_R,AFRICA_2024_GSW_Yearly_2021_37PHP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHP_M_R,AFRICA_2024_WorldCover_2021_37PHP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
57,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
58,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
59,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
60,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Cropland
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
67,NULL,NULL,Bareland,NULL,Non_Wetland,Water
68,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Bareland,Water,Non_Wetland,NULL
74,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
75,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
76,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
77,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
79,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
84,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
85,NULL,NULL,Built-up,Water,Non_Wetland,NULL
86,NULL,NULL,Water,NULL,Water,Bareland
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL
88,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
89,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
90,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
91,NULL,NULL,Forest,NULL,Non_Wetland,Forest
92,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
93,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Grassland,Water,Non_Wetland,NULL
104,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
105,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
106,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
110,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
