Value,AFRICA_2024_DynamicWorld_2024_36NVP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,AFRICA_2024_WorldCover_2021_36NVP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Wetland
31,NULL,NULL,Wetland,NULL,Wetland,Forest
32,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
36,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
38,NULL,NULL,Bareland,Water,Non_Wetland,Forest
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
42,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
43,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
45,NULL,NULL,Water,NULL,Water,Grassland
46,NULL,NULL,Water,NULL,Water,Forest
47,NULL,NULL,Water,Non_Water,Water,Grassland
48,NULL,NULL,Water,Water,Water,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL
50,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
52,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
53,NULL,NULL,Forest,NULL,Non_Wetland,Forest
54,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Forest,Water,Non_Wetland,Grassland
58,NULL,NULL,Forest,Water,Non_Wetland,Wetland
59,NULL,NULL,Forest,Water,Non_Wetland,Forest
60,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
61,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
66,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
67,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
68,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
71,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
74,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Water,Water,Water,Grassland
76,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
78,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
79,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
80,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
81,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
82,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
87,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
88,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
89,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
90,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
91,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
92,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
93,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
94,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
95,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
96,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
97,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
98,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
99,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
100,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
101,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
102,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
103,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
104,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
105,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
106,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
107,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
108,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
109,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
110,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
111,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
112,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
113,NULL,Built-up,Forest,NULL,Non_Wetland,Water
114,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
115,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
117,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
119,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
