Value,AFRICA_2024_DynamicWorld_2024_35NNG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,AFRICA_2024_GSW_Yearly_2021_35NNG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNG_M_R,AFRICA_2024_WorldCover_2021_35NNG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
27,NULL,NULL,Wetland,NULL,Wetland,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Grassland
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL
30,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
32,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
33,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
34,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
35,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL
37,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
39,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
40,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
41,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
42,NULL,NULL,Forest,NULL,Non_Wetland,Forest
43,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
46,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
47,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
48,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
49,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
50,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
51,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
56,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
57,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
58,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
59,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
60,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
61,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
62,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
63,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
64,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
66,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
67,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
68,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
69,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
70,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
71,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
72,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
73,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
74,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
75,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
79,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
82,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
83,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
84,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
85,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
86,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
87,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
88,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
89,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
90,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
91,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
92,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
93,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
95,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
96,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
97,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
98,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
99,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
100,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
101,NULL,Water,NULL,NULL,Non_Wetland,Grassland
102,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Water,Wetland,NULL,Wetland,Grassland
104,NULL,Water,Wetland,NULL,Wetland,Forest
105,NULL,Water,Forest,NULL,Non_Wetland,NULL
106,NULL,Forest,NULL,NULL,Non_Wetland,NULL
107,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
108,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
109,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
110,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
111,NULL,Forest,NULL,NULL,Non_Wetland,Forest
112,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
113,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
114,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
117,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
118,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
119,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
