Value,AFRICA_2024_DynamicWorld_2024_35PQP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQP_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQP_M_R,AFRICA_2024_GSW_Yearly_2021_35PQP_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQP_M_R,AFRICA_2024_WorldCover_2021_35PQP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Water,Non_Wetland,Forest
51,NULL,NULL,Wetland,NULL,Wetland,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
58,NULL,NULL,Wetland,Non_Water,Wetland,Forest
59,NULL,NULL,Wetland,Water,Wetland,NULL
60,NULL,NULL,Wetland,Water,Wetland,Grassland
61,NULL,NULL,Wetland,Water,Wetland,Cropland
62,NULL,NULL,Wetland,Water,Wetland,Wetland
63,NULL,NULL,Wetland,Water,Wetland,Bareland
64,NULL,NULL,Wetland,Water,Wetland,Water
65,NULL,NULL,Wetland,Water,Wetland,Forest
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
77,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
79,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
80,NULL,NULL,Water,NULL,Water,Grassland
81,NULL,NULL,Water,Non_Water,Water,Grassland
82,NULL,NULL,Water,Water,Water,NULL
83,NULL,NULL,Water,Water,Water,Grassland
84,NULL,NULL,Water,Water,Water,Wetland
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL
86,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
88,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
89,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
90,NULL,NULL,Forest,NULL,Non_Wetland,Forest
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
92,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
95,NULL,NULL,Forest,Water,Non_Wetland,Grassland
96,NULL,NULL,Forest,Water,Non_Wetland,Cropland
97,NULL,NULL,Forest,Water,Non_Wetland,Wetland
98,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
99,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
100,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
101,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
102,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
103,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
104,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
105,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
106,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
107,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
