Value,AFRICA_2024_DynamicWorld_2024_38PKB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKB_M_R,AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,AFRICA_2024_WorldCover_2021_38PKB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Grassland,NULL,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
26,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Wetland,NULL,Wetland,NULL
30,NULL,NULL,Wetland,NULL,Wetland,Cropland
31,NULL,NULL,Wetland,NULL,Wetland,Bareland
32,NULL,NULL,Wetland,NULL,Wetland,Water
33,NULL,NULL,Wetland,NULL,Wetland,Forest
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,NULL,Non_Wetland,Water
46,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
47,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
48,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Bareland,Water,Non_Wetland,NULL
51,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
57,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
58,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
59,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
60,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
61,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
62,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
67,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
68,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
72,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
73,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
75,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
76,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
78,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
79,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
81,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
83,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
89,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
90,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
95,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
96,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
97,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
99,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
100,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
101,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
102,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
103,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
104,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
105,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
106,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
107,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
108,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
109,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
110,NULL,Bareland,Wetland,Water,Wetland,Bareland
111,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
112,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
113,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
114,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
115,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
116,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
117,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
118,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
119,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
120,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
121,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
122,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
123,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
124,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
125,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
126,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
127,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
134,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
135,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
136,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
137,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
139,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
142,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
143,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
144,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
145,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
146,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
147,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
150,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
153,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
154,NULL,Built-up,Wetland,NULL,Wetland,NULL
155,NULL,Built-up,Wetland,NULL,Wetland,Bareland
156,NULL,Built-up,Wetland,NULL,Wetland,Built-up
157,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
158,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
159,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
160,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
161,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
162,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
165,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
168,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
169,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
170,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
171,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
172,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
173,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
174,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
175,NULL,Built-up,Bareland,Water,Non_Wetland,Water
176,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
177,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
183,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
184,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
185,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
186,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
187,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
188,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
189,NULL,Water,Cropland,Water,Non_Wetland,Bareland
190,NULL,Water,Wetland,Non_Water,Wetland,NULL
191,NULL,Water,Wetland,Water,Wetland,Bareland
192,NULL,Water,Wetland,Water,Wetland,Water
193,NULL,Water,Bareland,NULL,Non_Wetland,NULL
194,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
195,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
196,NULL,Water,Bareland,NULL,Non_Wetland,Water
197,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
198,NULL,Water,Bareland,Water,Non_Wetland,Bareland
199,NULL,Water,Bareland,Water,Non_Wetland,Water
200,NULL,Water,Water,Water,Water,Water
201,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
202,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
203,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
204,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
205,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
206,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
207,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
208,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
209,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
210,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
211,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
212,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
213,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
214,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
215,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
216,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
217,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
218,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
219,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
220,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
221,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
222,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
223,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
224,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
225,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
226,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
227,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
228,Cropland,NULL,Wetland,NULL,Wetland,Cropland
229,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
230,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
231,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
232,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
233,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
