Value,AFRICA_2024_DynamicWorld_2024_36PYV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYV_M_R,AFRICA_2024_GSW_Yearly_2021_36PYV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYV_M_R,AFRICA_2024_WorldCover_2021_36PYV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
52,NULL,NULL,Cropland,NULL,Non_Wetland,Water
53,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
60,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
61,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
62,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
63,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
64,NULL,NULL,Cropland,Water,Non_Wetland,Water
65,NULL,NULL,Cropland,Water,Non_Wetland,Forest
66,NULL,NULL,Wetland,NULL,Wetland,NULL
67,NULL,NULL,Wetland,NULL,Wetland,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,Cropland
69,NULL,NULL,Wetland,NULL,Wetland,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
72,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
73,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,Forest
75,NULL,NULL,Wetland,Water,Wetland,Grassland
76,NULL,NULL,Wetland,Water,Wetland,Cropland
77,NULL,NULL,Wetland,Water,Wetland,Wetland
78,NULL,NULL,Wetland,Water,Wetland,Water
79,NULL,NULL,Wetland,Water,Wetland,Forest
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,NULL,Bareland,NULL,Non_Wetland,Water
92,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
98,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
99,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
100,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
101,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,NULL,Bareland,Water,Non_Wetland,Water
103,NULL,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
110,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
113,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
114,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
115,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Water,Non_Wetland,Water
117,NULL,NULL,Water,NULL,Water,Grassland
118,NULL,NULL,Water,NULL,Water,Cropland
119,NULL,NULL,Water,Non_Water,Water,Grassland
120,NULL,NULL,Water,Non_Water,Water,Cropland
