Value,AFRICA_2024_DynamicWorld_2024_37PGL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGL_M_R,AFRICA_2024_GSW_Yearly_2021_37PGL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGL_M_R,AFRICA_2024_WorldCover_2021_37PGL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
24,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,NULL
34,NULL,NULL,Wetland,NULL,Wetland,Wetland
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
40,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
47,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
52,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
55,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
56,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
57,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
58,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
59,NULL,NULL,Forest,NULL,Non_Wetland,Forest
60,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
61,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
62,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
63,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
64,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
65,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
66,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
73,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
80,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
83,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
87,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
88,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
89,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
92,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
93,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
94,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
100,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
105,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
106,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
109,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
110,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
111,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
112,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
113,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
114,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
115,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
116,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
