Value,AFRICA_2024_DynamicWorld_2024_36PVR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVR_M_R,AFRICA_2024_GSW_Yearly_2021_36PVR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVR_M_R,AFRICA_2024_WorldCover_2021_36PVR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Water
39,NULL,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Water
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
49,NULL,NULL,Cropland,Water,Non_Wetland,Water
50,NULL,NULL,Wetland,NULL,Wetland,NULL
51,NULL,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,Water
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,Forest
59,NULL,NULL,Wetland,Water,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Wetland
61,NULL,NULL,Wetland,Water,Wetland,Water
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
64,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Water
68,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
71,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
72,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
73,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
74,NULL,NULL,Bareland,Water,Non_Wetland,Water
75,NULL,NULL,Bareland,Water,Non_Wetland,Forest
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
77,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
83,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
84,NULL,NULL,Water,NULL,Water,NULL
85,NULL,NULL,Water,NULL,Water,Grassland
86,NULL,NULL,Water,NULL,Water,Wetland
87,NULL,NULL,Water,NULL,Water,Water
88,NULL,NULL,Water,NULL,Water,Forest
89,NULL,NULL,Water,Non_Water,Water,Grassland
90,NULL,NULL,Water,Water,Water,Grassland
91,NULL,NULL,Water,Water,Water,Wetland
92,NULL,NULL,Water,Water,Water,Bareland
93,NULL,NULL,Water,Water,Water,Water
94,NULL,NULL,Water,Water,Water,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL
96,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
97,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
98,NULL,NULL,Forest,NULL,Non_Wetland,Water
99,NULL,NULL,Forest,NULL,Non_Wetland,Forest
100,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
104,NULL,NULL,Forest,Water,Non_Wetland,NULL
105,NULL,NULL,Forest,Water,Non_Wetland,Grassland
106,NULL,NULL,Forest,Water,Non_Wetland,Wetland
107,NULL,NULL,Forest,Water,Non_Wetland,Bareland
108,NULL,NULL,Forest,Water,Non_Wetland,Water
109,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
110,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
117,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Wetland,NULL,Wetland,NULL
121,NULL,Cropland,Wetland,NULL,Wetland,Grassland
122,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
