Value,AFRICA_2024_DynamicWorld_2024_38NLL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLL_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLL_M_R,AFRICA_2024_GSW_Yearly_2021_38NLL_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLL_M_R,AFRICA_2024_WorldCover_2021_38NLL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
39,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
45,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
46,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
52,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Water,NULL,Water,NULL
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Forest
57,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
58,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
59,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
60,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
61,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
62,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
63,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
64,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
65,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
66,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
67,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
68,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
69,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
70,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
71,NULL,Bareland,Water,NULL,Water,Bareland
72,NULL,Bareland,Water,Non_Water,Water,Bareland
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
74,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
75,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
76,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
77,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
78,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
79,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
80,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
81,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
82,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
83,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
84,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
85,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
87,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
89,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
90,NULL,Water,Grassland,NULL,Non_Wetland,NULL
91,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
92,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
93,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
94,NULL,Water,Grassland,NULL,Non_Wetland,Forest
95,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
96,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
97,NULL,Water,Cropland,NULL,Non_Wetland,NULL
98,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
99,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
100,NULL,Water,Cropland,NULL,Non_Wetland,Forest
101,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
102,NULL,Water,Cropland,Water,Non_Wetland,Grassland
103,NULL,Water,Wetland,Water,Wetland,Bareland
104,NULL,Water,Wetland,Water,Wetland,Water
105,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
106,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
107,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
108,NULL,Water,Bareland,Water,Non_Wetland,Grassland
109,NULL,Water,Water,Water,Water,Grassland
110,NULL,Forest,NULL,NULL,Non_Wetland,NULL
111,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
112,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
113,NULL,Forest,NULL,NULL,Non_Wetland,Forest
114,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
117,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
119,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
