Value,AFRICA_2024_DynamicWorld_2024_37PHN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHN_M_R,AFRICA_2024_GSW_Yearly_2021_37PHN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHN_M_R,AFRICA_2024_WorldCover_2021_37PHN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
28,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,Water,Non_Wetland,NULL
40,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
42,NULL,NULL,Wetland,NULL,Wetland,NULL
43,NULL,NULL,Wetland,NULL,Wetland,Bareland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
48,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
51,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Bareland,Water,Non_Wetland,NULL
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
63,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
73,NULL,NULL,Built-up,Water,Non_Wetland,NULL
74,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
75,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
76,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
77,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
82,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
83,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
100,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
103,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
104,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
105,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
106,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
107,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
108,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
109,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
110,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
111,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
112,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
113,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
114,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
115,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
116,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
