Value,AFRICA_2024_DynamicWorld_2024_36PZU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZU_M_R,AFRICA_2024_GSW_Yearly_2021_36PZU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZU_M_R,AFRICA_2024_WorldCover_2021_36PZU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
40,NULL,NULL,Cropland,Water,Non_Wetland,Forest
41,NULL,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Cropland
43,NULL,NULL,Wetland,NULL,Wetland,Forest
44,NULL,NULL,Wetland,Non_Water,Wetland,Forest
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
51,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Water,Non_Wetland,Forest
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
60,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
64,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
65,NULL,NULL,Water,NULL,Water,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
69,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
70,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
71,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
72,NULL,NULL,Forest,NULL,Non_Wetland,Forest
73,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
74,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
77,NULL,NULL,Forest,Water,Non_Wetland,Grassland
78,NULL,NULL,Forest,Water,Non_Wetland,Forest
79,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
80,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
81,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
83,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
90,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
91,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
102,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
103,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
104,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
105,NULL,Cropland,Wetland,NULL,Wetland,Cropland
106,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
107,NULL,Cropland,Wetland,Water,Wetland,Cropland
108,NULL,Cropland,Wetland,Water,Wetland,Water
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
116,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
117,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
118,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
