Value,AFRICA_2024_DynamicWorld_2024_35NMF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NMF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NMF_M_R,AFRICA_2024_GSW_Yearly_2021_35NMF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NMF_M_R,AFRICA_2024_WorldCover_2021_35NMF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Wetland
38,NULL,NULL,Wetland,NULL,Wetland,Water
39,NULL,NULL,Wetland,NULL,Wetland,Forest
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL
41,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
42,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
43,NULL,NULL,Wetland,Non_Water,Wetland,Water
44,NULL,NULL,Wetland,Non_Water,Wetland,Forest
45,NULL,NULL,Wetland,Water,Wetland,Grassland
46,NULL,NULL,Wetland,Water,Wetland,Wetland
47,NULL,NULL,Wetland,Water,Wetland,Bareland
48,NULL,NULL,Wetland,Water,Wetland,Water
49,NULL,NULL,Wetland,Water,Wetland,Forest
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
51,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
60,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
61,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
62,NULL,NULL,Built-up,Water,Non_Wetland,Water
63,NULL,NULL,Water,NULL,Water,NULL
64,NULL,NULL,Water,NULL,Water,Grassland
65,NULL,NULL,Water,NULL,Water,Water
66,NULL,NULL,Water,NULL,Water,Forest
67,NULL,NULL,Water,Non_Water,Water,Water
68,NULL,NULL,Water,Non_Water,Water,Forest
69,NULL,NULL,Water,Water,Water,Wetland
70,NULL,NULL,Water,Water,Water,Water
71,NULL,NULL,Water,Water,Water,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
78,NULL,NULL,Forest,NULL,Non_Wetland,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,Forest
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
84,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
85,NULL,NULL,Forest,Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,Wetland
87,NULL,NULL,Forest,Water,Non_Wetland,Water
88,NULL,NULL,Forest,Water,Non_Wetland,Forest
89,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
95,NULL,Cropland,Wetland,NULL,Wetland,Grassland
96,NULL,Cropland,Wetland,NULL,Wetland,Forest
97,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
98,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
100,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
101,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
102,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
103,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
104,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
105,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
106,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
107,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
108,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
109,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
110,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
112,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
113,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
114,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
115,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
116,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
117,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
118,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
119,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
120,NULL,Wetland,Wetland,NULL,Wetland,NULL
121,NULL,Wetland,Wetland,NULL,Wetland,Grassland
122,NULL,Wetland,Wetland,NULL,Wetland,Wetland
123,NULL,Wetland,Wetland,NULL,Wetland,Bareland
