Value,AFRICA_2024_DynamicWorld_2024_37NGG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGG_M_R,AFRICA_2024_GSW_Yearly_2021_37NGG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGG_M_R,AFRICA_2024_WorldCover_2021_37NGG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Water,Non_Wetland,Forest
51,NULL,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
62,NULL,NULL,Bareland,Water,Non_Wetland,NULL
63,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Water,Non_Wetland,Forest
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
70,NULL,NULL,Built-up,Water,Non_Wetland,Forest
71,NULL,NULL,Water,NULL,Water,Grassland
72,NULL,NULL,Water,Water,Water,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,Forest
78,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
80,NULL,NULL,Forest,Water,Non_Wetland,Grassland
81,NULL,NULL,Forest,Water,Non_Wetland,Forest
82,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
89,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
90,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
91,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
92,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
93,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
95,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
96,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
98,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
100,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
101,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
102,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
103,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
104,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
105,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
106,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
119,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
