Value,AFRICA_2024_DynamicWorld_2024_35NPG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,AFRICA_2024_GSW_Yearly_2021_35NPG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPG_M_R,AFRICA_2024_WorldCover_2021_35NPG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
13,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
15,NULL,NULL,Wetland,NULL,Wetland,NULL
16,NULL,NULL,Wetland,NULL,Wetland,Grassland
17,NULL,NULL,Wetland,Water,Wetland,Grassland
18,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
19,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
20,NULL,NULL,Water,NULL,Water,Grassland
21,NULL,NULL,Forest,NULL,Non_Wetland,NULL
22,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
23,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
24,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
25,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
26,NULL,NULL,Forest,NULL,Non_Wetland,Forest
27,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Forest,Water,Non_Wetland,Grassland
30,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
31,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
32,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
33,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
34,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
35,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
36,NULL,Water,Wetland,NULL,Wetland,Grassland
37,NULL,Water,Forest,NULL,Non_Wetland,NULL
38,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
39,NULL,Forest,NULL,NULL,Non_Wetland,NULL
40,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
41,NULL,Forest,NULL,NULL,Non_Wetland,Forest
42,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
43,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
44,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
45,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
46,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
47,NULL,Forest,Wetland,NULL,Wetland,NULL
48,NULL,Forest,Wetland,NULL,Wetland,Grassland
49,NULL,Forest,Forest,NULL,Non_Wetland,NULL
50,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
51,NULL,Forest,Forest,NULL,Non_Wetland,Forest
52,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
53,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
54,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
55,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
56,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
57,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
58,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
59,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
60,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
61,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
62,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
63,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
64,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
65,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
66,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
67,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
68,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
69,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
70,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
71,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
72,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
73,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
74,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
75,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
76,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
77,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
78,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
79,Wetland,NULL,Wetland,NULL,Wetland,NULL
80,Wetland,NULL,Wetland,NULL,Wetland,Grassland
81,Wetland,NULL,Wetland,NULL,Wetland,Forest
82,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
83,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
84,Wetland,NULL,Wetland,Water,Wetland,Grassland
85,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
86,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
87,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
88,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
89,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
90,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
91,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
92,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
93,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
94,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
95,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland
96,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
97,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
98,Wetland,Wetland,Wetland,NULL,Wetland,Forest
99,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
100,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
101,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
102,Wetland,Water,NULL,NULL,Non_Wetland,Grassland
103,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
104,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
105,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
106,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
107,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
108,Wetland,Water,Wetland,NULL,Wetland,Grassland
109,Wetland,Water,Wetland,NULL,Wetland,Forest
110,Wetland,Water,Wetland,Non_Water,Wetland,NULL
111,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
112,Wetland,Water,Wetland,Non_Water,Wetland,Forest
113,Wetland,Water,Wetland,Water,Wetland,Grassland
114,Wetland,Water,Water,NULL,Water,Forest
115,Wetland,Water,Water,Non_Water,Water,Forest
116,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
117,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
118,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
119,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
120,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
