Value,AFRICA_2024_DynamicWorld_2024_35NRF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,AFRICA_2024_GSW_Yearly_2021_35NRF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRF_M_R,AFRICA_2024_WorldCover_2021_35NRF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
19,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
23,NULL,NULL,Wetland,NULL,Wetland,NULL
24,NULL,NULL,Wetland,NULL,Wetland,Grassland
25,NULL,NULL,Wetland,NULL,Wetland,Forest
26,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
27,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
29,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
30,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
31,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
32,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
33,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL
35,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
36,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
37,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
38,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
39,NULL,NULL,Forest,NULL,Non_Wetland,Forest
40,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Forest,Water,Non_Wetland,Grassland
44,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
45,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
46,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
47,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
48,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
49,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
50,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
51,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
54,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
55,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
57,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
58,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
59,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
60,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
61,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
62,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
63,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
64,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
65,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
66,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
67,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
68,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
75,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
76,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
77,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
78,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
79,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
80,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
81,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
82,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
83,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
84,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
85,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
89,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
90,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
91,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
92,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
93,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
94,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
95,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
98,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
99,NULL,Water,Shrubland,Water,Non_Wetland,Forest
100,NULL,Water,Wetland,NULL,Wetland,NULL
101,NULL,Water,Wetland,NULL,Wetland,Forest
102,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
103,NULL,Water,Water,NULL,Water,Forest
104,NULL,Water,Forest,NULL,Non_Wetland,NULL
105,NULL,Water,Forest,NULL,Non_Wetland,Grassland
106,NULL,Water,Forest,NULL,Non_Wetland,Forest
107,NULL,Water,Forest,Water,Non_Wetland,Grassland
108,NULL,Forest,NULL,NULL,Non_Wetland,NULL
109,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
110,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
111,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
112,NULL,Forest,NULL,NULL,Non_Wetland,Forest
113,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
117,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
119,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
120,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
