Value,AFRICA_2024_DynamicWorld_2024_36PVS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVS_M_R,AFRICA_2024_GSW_Yearly_2021_36PVS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVS_M_R,AFRICA_2024_WorldCover_2021_36PVS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,NULL
13,NULL,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,NULL,Water,Non_Wetland,Cropland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,NULL,Water,Non_Wetland,Water
18,NULL,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
34,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
39,NULL,NULL,Shrubland,Water,Non_Wetland,Water
40,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Grassland,NULL,Non_Wetland,Water
48,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
51,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
52,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
53,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
54,NULL,NULL,Grassland,Water,Non_Wetland,Water
55,NULL,NULL,Grassland,Water,Non_Wetland,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
57,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
62,NULL,NULL,Cropland,NULL,Non_Wetland,Water
63,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL
71,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
72,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
73,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
74,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
75,NULL,NULL,Cropland,Water,Non_Wetland,Water
76,NULL,NULL,Cropland,Water,Non_Wetland,Forest
77,NULL,NULL,Wetland,NULL,Wetland,NULL
78,NULL,NULL,Wetland,NULL,Wetland,Grassland
79,NULL,NULL,Wetland,NULL,Wetland,Cropland
80,NULL,NULL,Wetland,NULL,Wetland,Wetland
81,NULL,NULL,Wetland,NULL,Wetland,Water
82,NULL,NULL,Wetland,NULL,Wetland,Forest
83,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
84,NULL,NULL,Wetland,Non_Water,Wetland,Forest
85,NULL,NULL,Wetland,Water,Wetland,NULL
86,NULL,NULL,Wetland,Water,Wetland,Grassland
87,NULL,NULL,Wetland,Water,Wetland,Water
88,NULL,NULL,Wetland,Water,Wetland,Forest
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
91,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
96,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL
100,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
102,NULL,NULL,Bareland,Water,Non_Wetland,Water
103,NULL,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
110,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
113,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
114,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
115,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
116,NULL,NULL,Water,NULL,Water,NULL
117,NULL,NULL,Water,NULL,Water,Grassland
118,NULL,NULL,Water,NULL,Water,Cropland
119,NULL,NULL,Water,NULL,Water,Wetland
120,NULL,NULL,Water,NULL,Water,Bareland
121,NULL,NULL,Water,NULL,Water,Water
122,NULL,NULL,Water,NULL,Water,Forest
123,NULL,NULL,Water,Non_Water,Water,Grassland
