Value,AFRICA_2024_DynamicWorld_2024_35NRD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRD_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRD_M_R,AFRICA_2024_GSW_Yearly_2021_35NRD_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRD_M_R,AFRICA_2024_WorldCover_2021_35NRD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
26,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Wetland,NULL,Wetland,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,Bareland
40,NULL,NULL,Wetland,NULL,Wetland,Water
41,NULL,NULL,Wetland,NULL,Wetland,Forest
42,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
43,NULL,NULL,Wetland,Non_Water,Wetland,Water
44,NULL,NULL,Wetland,Non_Water,Wetland,Forest
45,NULL,NULL,Wetland,Water,Wetland,NULL
46,NULL,NULL,Wetland,Water,Wetland,Grassland
47,NULL,NULL,Wetland,Water,Wetland,Water
48,NULL,NULL,Wetland,Water,Wetland,Forest
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
55,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
57,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
58,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
59,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
61,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
62,NULL,NULL,Water,NULL,Water,Grassland
63,NULL,NULL,Water,NULL,Water,Forest
64,NULL,NULL,Water,Non_Water,Water,Forest
65,NULL,NULL,Water,Water,Water,Grassland
66,NULL,NULL,Water,Water,Water,Water
67,NULL,NULL,Water,Water,Water,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
73,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
78,NULL,NULL,Forest,Water,Non_Wetland,NULL
79,NULL,NULL,Forest,Water,Non_Wetland,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,Forest
81,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
82,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
86,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
87,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
95,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
96,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
97,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Built-up
98,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
99,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
100,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
105,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
110,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
111,NULL,Cropland,Wetland,NULL,Wetland,NULL
112,NULL,Cropland,Wetland,NULL,Wetland,Grassland
113,NULL,Cropland,Wetland,NULL,Wetland,Bareland
114,NULL,Cropland,Wetland,NULL,Wetland,Forest
115,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
116,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
117,NULL,Cropland,Wetland,Non_Water,Wetland,Water
118,NULL,Cropland,Wetland,Water,Wetland,Water
119,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
120,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
