Value,AFRICA_2024_DynamicWorld_2024_36PTR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTR_M_R,AFRICA_2024_GSW_Yearly_2021_36PTR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTR_M_R,AFRICA_2024_WorldCover_2021_36PTR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,NULL
47,NULL,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,Water
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL
52,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,NULL,Wetland,Water,Wetland,NULL
56,NULL,NULL,Wetland,Water,Wetland,Grassland
57,NULL,NULL,Wetland,Water,Wetland,Wetland
58,NULL,NULL,Wetland,Water,Wetland,Forest
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
60,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
66,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
72,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
73,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
74,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
75,NULL,NULL,Water,NULL,Water,Grassland
76,NULL,NULL,Water,NULL,Water,Water
77,NULL,NULL,Water,NULL,Water,Forest
78,NULL,NULL,Water,Water,Water,NULL
79,NULL,NULL,Water,Water,Water,Grassland
80,NULL,NULL,Water,Water,Water,Wetland
81,NULL,NULL,Water,Water,Water,Water
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
84,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
85,NULL,NULL,Forest,NULL,Non_Wetland,Water
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Forest,Water,Non_Wetland,NULL
92,NULL,NULL,Forest,Water,Non_Wetland,Grassland
93,NULL,NULL,Forest,Water,Non_Wetland,Wetland
94,NULL,NULL,Forest,Water,Non_Wetland,Forest
95,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Wetland,NULL,Wetland,NULL
108,NULL,Cropland,Wetland,NULL,Wetland,Grassland
109,NULL,Cropland,Wetland,NULL,Wetland,Wetland
110,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
114,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
116,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
117,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
118,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
119,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
120,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
121,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
122,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
123,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
