Value,AFRICA_2024_DynamicWorld_2024_36NYM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYM_M_R,AFRICA_2024_GSW_Yearly_2021_36NYM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYM_M_R,AFRICA_2024_WorldCover_2021_36NYM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
19,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
24,NULL,NULL,Wetland,NULL,Wetland,Forest
25,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
26,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
27,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
28,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
29,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
34,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
35,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
36,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
37,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
38,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
39,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
40,NULL,NULL,Forest,NULL,Non_Wetland,NULL
41,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
42,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
43,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
44,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
45,NULL,NULL,Forest,NULL,Non_Wetland,Forest
46,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
47,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
48,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
49,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
50,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
51,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
58,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
59,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
60,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
61,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
62,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
63,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
64,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
65,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
66,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
67,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
68,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
69,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
70,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
72,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
73,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
76,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
77,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
78,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
82,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
83,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
88,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
89,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
90,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
91,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
92,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
98,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
99,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
100,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
101,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
102,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
103,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
104,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
105,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
106,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
107,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
108,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
109,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
110,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
111,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
112,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
113,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
114,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
115,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
117,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
