Value,AFRICA_2024_DynamicWorld_2024_37PGP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,AFRICA_2024_WorldCover_2021_37PGP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
59,NULL,NULL,Wetland,NULL,Wetland,NULL
60,NULL,NULL,Wetland,NULL,Wetland,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,Cropland
62,NULL,NULL,Wetland,NULL,Wetland,Wetland
63,NULL,NULL,Wetland,NULL,Wetland,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,NULL,Wetland,Water,Wetland,Cropland
68,NULL,NULL,Wetland,Water,Wetland,Wetland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
78,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
83,NULL,NULL,Bareland,NULL,Non_Wetland,Water
84,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Bareland,Water,Non_Wetland,NULL
92,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
94,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
95,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
96,NULL,NULL,Bareland,Water,Non_Wetland,Water
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
98,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
103,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
109,NULL,NULL,Built-up,Water,Non_Wetland,NULL
110,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
111,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
112,NULL,NULL,Built-up,Water,Non_Wetland,Water
113,NULL,NULL,Water,NULL,Water,NULL
114,NULL,NULL,Water,Water,Water,Wetland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL
116,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
117,NULL,NULL,Forest,NULL,Non_Wetland,Forest
118,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
