Value,AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,AFRICA_2024_WorldCover_2021_35NRJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
34,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Water,Non_Wetland,Water
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
44,NULL,NULL,Cropland,Water,Non_Wetland,Water
45,NULL,NULL,Wetland,NULL,Wetland,NULL
46,NULL,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,Built-up
49,NULL,NULL,Wetland,NULL,Wetland,Water
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,NULL,Wetland,Water,Wetland,Grassland
54,NULL,NULL,Wetland,Water,Wetland,Wetland
55,NULL,NULL,Wetland,Water,Wetland,Water
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
62,NULL,NULL,Bareland,Water,Non_Wetland,Water
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
64,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
68,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
70,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
71,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
72,NULL,NULL,Built-up,Water,Non_Wetland,Water
73,NULL,NULL,Water,NULL,Water,Grassland
74,NULL,NULL,Water,NULL,Water,Wetland
75,NULL,NULL,Water,NULL,Water,Water
76,NULL,NULL,Water,NULL,Water,Forest
77,NULL,NULL,Water,Non_Water,Water,Wetland
78,NULL,NULL,Water,Water,Water,Grassland
79,NULL,NULL,Water,Water,Water,Wetland
80,NULL,NULL,Water,Water,Water,Bareland
81,NULL,NULL,Water,Water,Water,Water
82,NULL,NULL,Water,Water,Water,Forest
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL
84,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Forest,Water,Non_Wetland,Grassland
90,NULL,NULL,Forest,Water,Non_Wetland,Wetland
91,NULL,NULL,Forest,Water,Non_Wetland,Water
92,NULL,NULL,Forest,Water,Non_Wetland,Forest
93,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
94,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
95,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
96,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
105,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
106,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
107,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
108,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
111,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
112,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
113,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
114,NULL,Cropland,Grassland,Water,Non_Wetland,Water
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
120,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
121,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
122,NULL,Cropland,Cropland,Water,Non_Wetland,Water
123,NULL,Cropland,Wetland,NULL,Wetland,NULL
