Value,AFRICA_2024_DynamicWorld_2024_35PQS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQS_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQS_M_R,AFRICA_2024_GSW_Yearly_2021_35PQS_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQS_M_R,AFRICA_2024_WorldCover_2021_35PQS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
20,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
21,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
24,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
25,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
26,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
30,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
31,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
32,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
33,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL
35,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
36,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
37,NULL,NULL,Forest,NULL,Non_Wetland,Forest
38,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
39,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
40,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
41,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
42,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
43,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
44,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
45,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
46,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
47,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
48,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
49,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
50,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
51,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
52,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
53,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
54,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
55,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
56,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
57,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
58,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
59,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
60,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
61,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
62,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
63,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
64,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
65,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
66,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
67,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
71,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
72,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
74,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
76,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
77,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
78,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
80,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
81,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
82,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
83,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
84,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
85,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
86,NULL,Water,Grassland,Water,Non_Wetland,Grassland
87,NULL,Water,Grassland,Water,Non_Wetland,Wetland
88,NULL,Water,Wetland,NULL,Wetland,Grassland
89,NULL,Forest,NULL,NULL,Non_Wetland,NULL
90,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
91,NULL,Forest,NULL,NULL,Non_Wetland,Forest
92,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
95,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
96,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
97,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
98,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
99,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
100,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
101,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
102,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
103,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
104,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
105,NULL,Forest,Wetland,NULL,Wetland,NULL
106,NULL,Forest,Wetland,NULL,Wetland,Grassland
107,NULL,Forest,Wetland,NULL,Wetland,Forest
108,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
109,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
110,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
111,NULL,Forest,Forest,NULL,Non_Wetland,NULL
112,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
113,NULL,Forest,Forest,NULL,Non_Wetland,Forest
114,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
115,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
116,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
117,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
118,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
119,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
