Value,AFRICA_2024_DynamicWorld_2024_37NCH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCH_M_R,AFRICA_2024_GSW_Yearly_2021_37NCH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCH_M_R,AFRICA_2024_WorldCover_2021_37NCH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Water,Non_Wetland,NULL
13,NULL,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,NULL,Water,Non_Wetland,Cropland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,NULL,Water,Non_Wetland,Water
18,NULL,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
35,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
39,NULL,NULL,Shrubland,Water,Non_Wetland,Water
40,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Grassland,NULL,Non_Wetland,Water
48,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL
55,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
56,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
57,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
58,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
59,NULL,NULL,Grassland,Water,Non_Wetland,Water
60,NULL,NULL,Grassland,Water,Non_Wetland,Forest
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
62,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
64,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
65,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
66,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
67,NULL,NULL,Cropland,NULL,Non_Wetland,Water
68,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
75,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL
77,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
78,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
79,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
80,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
81,NULL,NULL,Cropland,Water,Non_Wetland,Water
82,NULL,NULL,Cropland,Water,Non_Wetland,Forest
83,NULL,NULL,Wetland,NULL,Wetland,NULL
84,NULL,NULL,Wetland,NULL,Wetland,Grassland
85,NULL,NULL,Wetland,NULL,Wetland,Cropland
86,NULL,NULL,Wetland,NULL,Wetland,Wetland
87,NULL,NULL,Wetland,NULL,Wetland,Bareland
88,NULL,NULL,Wetland,NULL,Wetland,Forest
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL
90,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
91,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
92,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
93,NULL,NULL,Wetland,Non_Water,Wetland,Forest
94,NULL,NULL,Wetland,Water,Wetland,NULL
95,NULL,NULL,Wetland,Water,Wetland,Cropland
96,NULL,NULL,Wetland,Water,Wetland,Wetland
97,NULL,NULL,Wetland,Water,Wetland,Bareland
98,NULL,NULL,Wetland,Water,Wetland,Water
99,NULL,NULL,Wetland,Water,Wetland,Forest
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
102,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
103,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
104,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
105,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
106,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
107,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Cropland
108,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
110,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
111,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
112,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
113,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
114,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
115,NULL,NULL,Bareland,NULL,Non_Wetland,Water
116,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
