Value,AFRICA_2024_DynamicWorld_2024_37PHQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PHQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHQ_M_R,AFRICA_2024_WorldCover_2021_37PHQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
36,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
38,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
46,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
47,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
49,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
53,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
54,NULL,NULL,Built-up,Water,Non_Wetland,NULL
55,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
56,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
61,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
62,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
63,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
64,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
65,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
66,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
68,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
69,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
70,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
71,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
72,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
74,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
76,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
77,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
78,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
79,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
80,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
81,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
82,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
83,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
85,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
86,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
87,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
89,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
90,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
91,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
92,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
93,NULL,Bareland,Water,NULL,Water,Bareland
94,NULL,Bareland,Water,Water,NULL,Bareland
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
98,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
99,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
100,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
101,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
102,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
103,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
104,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
105,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
106,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
107,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
108,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
109,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
110,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
111,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
112,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
113,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
114,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
