Value,AFRICA_2024_DynamicWorld_2024_37NFE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFE_M_R,AFRICA_2024_WorldCover_2021_37NFE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Water
46,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
53,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,Water,Non_Wetland,Forest
55,NULL,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Forest
57,NULL,NULL,Wetland,Water,Wetland,NULL
58,NULL,NULL,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Bareland
60,NULL,NULL,Wetland,Water,Wetland,Water
61,NULL,NULL,Wetland,Water,Wetland,Forest
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
64,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Water
67,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
71,NULL,NULL,Bareland,Water,Non_Wetland,NULL
72,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
73,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
74,NULL,NULL,Bareland,Water,Non_Wetland,Water
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
76,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
78,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
80,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
81,NULL,NULL,Water,NULL,Water,NULL
82,NULL,NULL,Water,NULL,Water,Grassland
83,NULL,NULL,Water,NULL,Water,Bareland
84,NULL,NULL,Water,NULL,Water,Water
85,NULL,NULL,Water,Non_Water,Water,Grassland
86,NULL,NULL,Water,Water,Water,Grassland
87,NULL,NULL,Water,Water,Water,Bareland
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL
89,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
91,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
92,NULL,NULL,Forest,NULL,Non_Wetland,Forest
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
95,NULL,NULL,Forest,Water,Non_Wetland,Forest
96,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
97,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
99,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
101,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
102,NULL,Bareland,Water,NULL,Water,Grassland
103,NULL,Bareland,Water,NULL,Water,Water
104,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
105,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
106,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
107,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
113,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
119,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
120,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
121,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
122,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
