Value,AFRICA_2024_DynamicWorld_2024_36NUN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUN_M_R,AFRICA_2024_GSW_Yearly_2021_36NUN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUN_M_R,AFRICA_2024_WorldCover_2021_36NUN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Wetland,NULL,Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,Wetland
36,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
41,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
42,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
47,NULL,NULL,Built-up,NULL,Non_Wetland,Water
48,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
49,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
50,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
51,NULL,NULL,Water,NULL,Water,Grassland
52,NULL,NULL,Water,NULL,Water,Wetland
53,NULL,NULL,Water,Water,Water,Grassland
54,NULL,NULL,Water,Water,Water,Wetland
55,NULL,NULL,Water,Water,Water,Bareland
56,NULL,NULL,Water,Water,Water,Water
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
60,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Forest,Water,Non_Wetland,Grassland
66,NULL,NULL,Forest,Water,Non_Wetland,Wetland
67,NULL,NULL,Forest,Water,Non_Wetland,Water
68,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
73,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
74,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
75,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
76,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
78,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
79,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
80,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
81,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
82,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
83,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
84,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
85,NULL,Wetland,NULL,Water,Non_Wetland,Water
86,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
88,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
89,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
91,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
92,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
93,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
94,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
95,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
96,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
97,NULL,Wetland,Shrubland,Water,Non_Wetland,Built-up
98,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
99,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
100,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
101,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
102,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
103,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
104,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
105,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
106,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
107,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
108,NULL,Wetland,Cropland,NULL,Non_Wetland,Built-up
109,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
110,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
111,NULL,Wetland,Wetland,NULL,Wetland,Grassland
112,NULL,Wetland,Wetland,NULL,Wetland,Wetland
113,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
114,NULL,Wetland,Wetland,Water,Wetland,Wetland
115,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
117,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
118,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
119,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
120,NULL,Wetland,Bareland,Water,Non_Wetland,Built-up
