Value,AFRICA_2024_DynamicWorld_2024_36NUK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUK_M_R,AFRICA_2024_GSW_Yearly_2021_36NUK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUK_M_R,AFRICA_2024_WorldCover_2021_36NUK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Wetland,NULL,Wetland,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
47,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
55,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
56,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
57,NULL,NULL,Forest,NULL,Non_Wetland,Forest
58,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
59,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
61,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
63,NULL,NULL,Forest,Water,Non_Wetland,Grassland
64,NULL,NULL,Forest,Water,Non_Wetland,Forest
65,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
66,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
67,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
68,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
69,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
70,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
77,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
82,NULL,Cropland,Wetland,NULL,Wetland,Forest
83,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
84,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
86,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
87,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
91,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
92,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
93,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
94,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
95,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
96,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
97,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
98,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
101,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
102,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
103,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
104,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
105,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
106,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
107,NULL,Wetland,Wetland,NULL,Wetland,NULL
108,NULL,Wetland,Wetland,NULL,Wetland,Grassland
109,NULL,Wetland,Wetland,NULL,Wetland,Wetland
110,NULL,Wetland,Wetland,NULL,Wetland,Forest
111,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
112,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
113,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
114,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
115,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
116,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
117,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
118,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
119,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
