Value,AFRICA_2024_DynamicWorld_2024_35PRP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRP_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRP_M_R,AFRICA_2024_GSW_Yearly_2021_35PRP_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRP_M_R,AFRICA_2024_WorldCover_2021_35PRP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Water,Non_Wetland,Water
50,NULL,NULL,Cropland,Water,Non_Wetland,Forest
51,NULL,NULL,Wetland,NULL,Wetland,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Forest
53,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
54,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
59,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
63,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
64,NULL,NULL,Water,NULL,Water,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
68,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
69,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
70,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
71,NULL,NULL,Forest,NULL,Non_Wetland,Forest
72,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
73,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
75,NULL,NULL,Forest,Water,Non_Wetland,Grassland
76,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
77,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
78,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
79,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
80,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
87,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
95,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
96,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
102,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
103,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
104,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
105,NULL,Cropland,Wetland,NULL,Wetland,NULL
106,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
107,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
109,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
110,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
115,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
116,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
