Value,AFRICA_2024_DynamicWorld_2024_37NDH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDH_M_R,AFRICA_2024_GSW_Yearly_2021_37NDH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDH_M_R,AFRICA_2024_WorldCover_2021_37NDH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Water,Non_Wetland,Water
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,Water
40,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
46,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
47,NULL,NULL,Cropland,Water,Non_Wetland,Water
48,NULL,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
63,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
71,NULL,NULL,Water,NULL,Water,Forest
72,NULL,NULL,Water,Non_Water,Water,Cropland
73,NULL,NULL,Water,Non_Water,Water,Bareland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
78,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
79,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
84,NULL,NULL,Forest,Water,Non_Wetland,NULL
85,NULL,NULL,Forest,Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,Wetland
87,NULL,NULL,Forest,Water,Non_Wetland,Forest
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
89,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
94,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
103,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
104,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
111,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
112,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
