Value,AFRICA_2024_DynamicWorld_2024_36NXJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NXJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXJ_M_R,AFRICA_2024_WorldCover_2021_36NXJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
39,NULL,NULL,Grassland,Water,Non_Wetland,Water
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,Water,Wetland,NULL
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Water
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Bareland,Water,Non_Wetland,NULL
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
63,NULL,NULL,Bareland,Water,Non_Wetland,Water
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Water
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Built-up,Water,Non_Wetland,NULL
73,NULL,NULL,Water,NULL,Water,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
79,NULL,NULL,Forest,NULL,Non_Wetland,Forest
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
83,NULL,NULL,Forest,Water,Non_Wetland,NULL
84,NULL,NULL,Forest,Water,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
86,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
87,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
102,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
108,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
