Value,AFRICA_2024_DynamicWorld_2024_36PUU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUU_M_R,AFRICA_2024_GSW_Yearly_2021_36PUU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUU_M_R,AFRICA_2024_WorldCover_2021_36PUU_M_R
175,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
178,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
179,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
180,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
181,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
182,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
183,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
184,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
185,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
186,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
187,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
188,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
189,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
190,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
191,NULL,Forest,Forest,NULL,Non_Wetland,NULL
192,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
193,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
194,NULL,Forest,Forest,NULL,Non_Wetland,Forest
195,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
196,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
197,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
198,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
199,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
200,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
201,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
202,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
203,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
204,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
205,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
206,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
207,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
208,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
209,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
210,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
211,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
212,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
213,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
214,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
215,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
216,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
217,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
218,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
219,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
220,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
221,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
222,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
223,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
224,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
225,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
226,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
227,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
228,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
229,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
230,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
231,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
232,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
233,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
234,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
235,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
236,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
237,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
238,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
239,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
240,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
241,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
242,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
243,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
244,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
245,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
246,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
247,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
248,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
249,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
250,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
251,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
252,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
253,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
254,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
255,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
256,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
257,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
258,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
259,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
260,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
261,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
262,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
263,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
264,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
265,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
266,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
267,Cropland,NULL,Grassland,Water,Non_Wetland,Water
268,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
269,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
270,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
271,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
272,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
273,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
274,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
275,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
276,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
277,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
278,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
279,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
280,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
281,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
282,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
283,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
284,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
285,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
286,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
287,Cropland,NULL,Cropland,Water,Non_Wetland,Water
288,Cropland,NULL,Wetland,NULL,Wetland,NULL
289,Cropland,NULL,Wetland,NULL,Wetland,Cropland
290,Cropland,NULL,Wetland,NULL,Wetland,Bareland
291,Cropland,NULL,Wetland,NULL,Wetland,Water
292,Cropland,NULL,Wetland,NULL,Wetland,Forest
293,Cropland,NULL,Wetland,Water,Wetland,Cropland
294,Cropland,NULL,Wetland,Water,Wetland,Bareland
295,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
296,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
297,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
298,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
299,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
300,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
301,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
302,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
303,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
304,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
305,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
306,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
307,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
308,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
309,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
310,Cropland,NULL,Bareland,Water,Non_Wetland,Water
311,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
312,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
313,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
314,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
315,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
316,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
317,Cropland,NULL,Built-up,Water,Non_Wetland,Built-up
318,Cropland,NULL,Water,NULL,Water,Cropland
319,Cropland,NULL,Water,Water,Water,Water
320,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
321,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
322,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
323,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
324,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
325,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
326,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
327,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
328,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
329,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
330,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
331,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
332,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
333,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
334,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
335,Cropland,Cropland,NULL,Water,Non_Wetland,Wetland
336,Cropland,Cropland,NULL,Water,Non_Wetland,Forest
337,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
338,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
339,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
340,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
341,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
342,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
343,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
344,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
345,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
346,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
347,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
348,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
349,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
350,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
351,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
352,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
353,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
354,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
355,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
356,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
357,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
358,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
359,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
360,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
361,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
362,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
363,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
364,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
365,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
366,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
367,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
368,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
369,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
370,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
371,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
372,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
373,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
374,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
375,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
376,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
377,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
378,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
379,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
380,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
381,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
382,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
383,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
384,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
385,Cropland,Cropland,Wetland,NULL,Wetland,NULL
386,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
387,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
388,Cropland,Cropland,Wetland,NULL,Wetland,Water
389,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
390,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
391,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
392,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
393,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
394,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
395,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water
396,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
397,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
398,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
399,Cropland,Cropland,Bareland,Water,Non_Wetland,Wetland
400,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
401,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
402,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
403,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
404,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
405,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
406,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
407,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
408,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
409,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
410,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
411,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
412,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
