Value,AFRICA_2024_DynamicWorld_2024_37PCK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCK_M_R,AFRICA_2024_GSW_Yearly_2021_37PCK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCK_M_R,AFRICA_2024_WorldCover_2021_37PCK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Water,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Wetland,Water,Wetland,Cropland
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
46,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
52,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
55,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
56,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
57,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
58,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
59,NULL,NULL,Forest,NULL,Non_Wetland,Forest
60,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
61,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
64,NULL,NULL,Forest,Water,Non_Wetland,NULL
65,NULL,NULL,Forest,Water,Non_Wetland,Cropland
66,NULL,NULL,Forest,Water,Non_Wetland,Forest
67,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
68,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
69,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
70,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
71,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
72,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
73,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
74,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
82,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
83,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
84,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
99,NULL,Cropland,Wetland,NULL,Wetland,Grassland
100,NULL,Cropland,Wetland,NULL,Wetland,Cropland
101,NULL,Cropland,Wetland,NULL,Wetland,Forest
102,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
103,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
107,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
