Value,AFRICA_2024_DynamicWorld_2024_37PHS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHS_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHS_M_R,AFRICA_2024_GSW_Yearly_2021_37PHS_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHS_M_R,AFRICA_2024_WorldCover_2021_37PHS_M_R
0,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
1,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
2,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
3,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
4,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
5,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
6,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
7,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
8,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
11,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
12,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
13,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
14,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
15,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
16,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
17,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
18,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
19,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
20,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
21,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
22,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
23,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
24,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
25,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
26,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
