Value,AFRICA_2024_DynamicWorld_2024_37NEJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NEJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEJ_M_R,AFRICA_2024_WorldCover_2021_37NEJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Cropland,Water,Non_Wetland,NULL
36,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
38,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
39,NULL,NULL,Wetland,NULL,Wetland,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Cropland
42,NULL,NULL,Wetland,NULL,Wetland,Wetland
43,NULL,NULL,Wetland,NULL,Wetland,Bareland
44,NULL,NULL,Wetland,NULL,Wetland,Forest
45,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
46,NULL,NULL,Wetland,Water,Wetland,Bareland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
58,NULL,NULL,Bareland,NULL,Non_Wetland,Water
59,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Bareland,Water,Non_Wetland,NULL
66,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
67,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
68,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
69,NULL,NULL,Bareland,Water,Non_Wetland,Water
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
71,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
75,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
76,NULL,NULL,Water,NULL,Water,NULL
77,NULL,NULL,Water,NULL,Water,Grassland
78,NULL,NULL,Water,Water,Water,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
82,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
83,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
84,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
85,NULL,NULL,Forest,NULL,Non_Wetland,Water
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest
87,NULL,NULL,Forest,Water,Non_Wetland,NULL
88,NULL,NULL,Forest,Water,Non_Wetland,Grassland
89,NULL,NULL,Forest,Water,Non_Wetland,Forest
90,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
91,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
95,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
96,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
113,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
