Value,AFRICA_2024_DynamicWorld_2024_36PXT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXT_M_R,AFRICA_2024_GSW_Yearly_2021_36PXT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXT_M_R,AFRICA_2024_WorldCover_2021_36PXT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Cropland
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Water
32,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,NULL,Grassland,Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
65,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
66,NULL,NULL,Cropland,Water,Non_Wetland,Water
67,NULL,NULL,Cropland,Water,Non_Wetland,Forest
68,NULL,NULL,Wetland,NULL,Wetland,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,Cropland
71,NULL,NULL,Wetland,NULL,Wetland,Wetland
72,NULL,NULL,Wetland,NULL,Wetland,Forest
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL
74,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
76,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
77,NULL,NULL,Wetland,Non_Water,Wetland,Water
78,NULL,NULL,Wetland,Non_Water,Wetland,Forest
79,NULL,NULL,Wetland,Water,Wetland,Grassland
80,NULL,NULL,Wetland,Water,Wetland,Cropland
81,NULL,NULL,Wetland,Water,Wetland,Wetland
82,NULL,NULL,Wetland,Water,Wetland,Bareland
83,NULL,NULL,Wetland,Water,Wetland,Water
84,NULL,NULL,Wetland,Water,Wetland,Forest
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
91,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
92,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
93,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
99,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
100,NULL,NULL,Water,Non_Water,Water,Grassland
101,NULL,NULL,Water,Non_Water,Water,Cropland
102,NULL,NULL,Water,Non_Water,Water,Forest
103,NULL,NULL,Water,Water,Water,Grassland
104,NULL,NULL,Water,Water,Water,Cropland
105,NULL,NULL,Water,Water,Water,Wetland
106,NULL,NULL,Water,Water,Water,Water
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
110,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
111,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
112,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
113,NULL,NULL,Forest,NULL,Non_Wetland,Forest
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
119,NULL,NULL,Forest,Water,Non_Wetland,NULL
120,NULL,NULL,Forest,Water,Non_Wetland,Grassland
121,NULL,NULL,Forest,Water,Non_Wetland,Cropland
122,NULL,NULL,Forest,Water,Non_Wetland,Wetland
123,NULL,NULL,Forest,Water,Non_Wetland,Water
