Value,AFRICA_2024_DynamicWorld_2024_36NZN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZN_M_R,AFRICA_2024_GSW_Yearly_2021_36NZN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZN_M_R,AFRICA_2024_WorldCover_2021_36NZN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
35,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
37,NULL,NULL,Wetland,Water,Wetland,Wetland
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
46,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
48,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
50,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
54,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
58,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
59,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
60,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
65,NULL,NULL,Forest,Water,Non_Wetland,Grassland
66,NULL,NULL,Forest,Water,Non_Wetland,Bareland
67,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
68,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
69,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
70,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
71,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
72,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
79,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
83,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
84,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
85,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
92,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
94,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
96,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
100,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
105,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
106,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
107,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
109,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
110,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
113,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
117,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
