Value,AFRICA_2024_DynamicWorld_2024_37PER_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PER_M_R,AFRICA_2024_GLC_FCS30D_2022_37PER_M_R,AFRICA_2024_GSW_Yearly_2021_37PER_M_R,AFRICA_2024_GWL_FCS30D_2022_37PER_M_R,AFRICA_2024_WorldCover_2021_37PER_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Cropland,Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
48,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
49,NULL,NULL,Cropland,Water,Non_Wetland,Water
50,NULL,NULL,Wetland,NULL,Wetland,NULL
51,NULL,NULL,Wetland,Water,Wetland,Cropland
52,NULL,NULL,Wetland,Water,Wetland,Water
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
63,NULL,NULL,Bareland,NULL,Non_Wetland,Water
64,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
68,NULL,NULL,Bareland,Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
71,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
72,NULL,NULL,Bareland,Water,Non_Wetland,Water
73,NULL,NULL,Bareland,Water,Non_Wetland,Forest
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
81,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
82,NULL,NULL,Water,NULL,Water,NULL
83,NULL,NULL,Water,NULL,Water,Grassland
84,NULL,NULL,Water,NULL,Water,Cropland
85,NULL,NULL,Water,NULL,Water,Bareland
86,NULL,NULL,Water,NULL,Water,Forest
87,NULL,NULL,Water,Non_Water,Water,Cropland
88,NULL,NULL,Water,Water,Water,NULL
89,NULL,NULL,Water,Water,Water,Grassland
90,NULL,NULL,Water,Water,Water,Cropland
91,NULL,NULL,Water,Water,Water,Water
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
95,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
96,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
97,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
98,NULL,NULL,Forest,NULL,Non_Wetland,Water
99,NULL,NULL,Forest,NULL,Non_Wetland,Forest
100,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
102,NULL,NULL,Forest,Water,Non_Wetland,NULL
103,NULL,NULL,Forest,Water,Non_Wetland,Grassland
104,NULL,NULL,Forest,Water,Non_Wetland,Cropland
105,NULL,NULL,Forest,Water,Non_Wetland,Wetland
106,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
107,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
108,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
109,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
110,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
111,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
112,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
119,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
120,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
121,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
