Value,AFRICA_2024_DynamicWorld_2024_36NUJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NUJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUJ_M_R,AFRICA_2024_WorldCover_2021_36NUJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
30,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
56,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Water,Non_Wetland,Forest
58,NULL,NULL,Wetland,NULL,Wetland,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,Water
62,NULL,NULL,Wetland,NULL,Wetland,Forest
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,Water
67,NULL,NULL,Wetland,Non_Water,Wetland,Forest
68,NULL,NULL,Wetland,Water,Wetland,NULL
69,NULL,NULL,Wetland,Water,Wetland,Grassland
70,NULL,NULL,Wetland,Water,Wetland,Wetland
71,NULL,NULL,Wetland,Water,Wetland,Water
72,NULL,NULL,Wetland,Water,Wetland,Forest
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
79,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
83,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Water,Non_Wetland,Water
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
86,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
90,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
91,NULL,NULL,Water,NULL,Water,NULL
92,NULL,NULL,Water,NULL,Water,Wetland
93,NULL,NULL,Water,NULL,Water,Water
94,NULL,NULL,Water,NULL,Water,Forest
95,NULL,NULL,Water,Non_Water,Water,Grassland
96,NULL,NULL,Water,Non_Water,Water,Wetland
97,NULL,NULL,Water,Non_Water,Water,Bareland
98,NULL,NULL,Water,Non_Water,Water,Water
99,NULL,NULL,Water,Non_Water,Water,Forest
100,NULL,NULL,Water,Water,Water,NULL
101,NULL,NULL,Water,Water,Water,Grassland
102,NULL,NULL,Water,Water,Water,Wetland
103,NULL,NULL,Water,Water,Water,Water
104,NULL,NULL,Water,Water,Water,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
108,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
109,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
110,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
111,NULL,NULL,Forest,NULL,Non_Wetland,Forest
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
118,NULL,NULL,Forest,Water,Non_Wetland,NULL
119,NULL,NULL,Forest,Water,Non_Wetland,Grassland
120,NULL,NULL,Forest,Water,Non_Wetland,Wetland
121,NULL,NULL,Forest,Water,Non_Wetland,Forest
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
123,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
124,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
