Value,AFRICA_2024_DynamicWorld_2024_37NEG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEG_M_R,AFRICA_2024_GSW_Yearly_2021_37NEG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEG_M_R,AFRICA_2024_WorldCover_2021_37NEG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL
59,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
60,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,Water
63,NULL,NULL,Cropland,Water,Non_Wetland,Forest
64,NULL,NULL,Wetland,NULL,Wetland,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,Cropland
67,NULL,NULL,Wetland,NULL,Wetland,Water
68,NULL,NULL,Wetland,NULL,Wetland,Forest
69,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
70,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
71,NULL,NULL,Wetland,Non_Water,Wetland,Water
72,NULL,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,NULL,Wetland,Water,Wetland,Grassland
74,NULL,NULL,Wetland,Water,Wetland,Cropland
75,NULL,NULL,Wetland,Water,Wetland,Bareland
76,NULL,NULL,Wetland,Water,Wetland,Water
77,NULL,NULL,Wetland,Water,Wetland,Forest
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
94,NULL,NULL,Bareland,Water,Non_Wetland,NULL
95,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
97,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
101,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
105,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
107,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
108,NULL,NULL,Water,NULL,Water,Grassland
109,NULL,NULL,Water,NULL,Water,Cropland
110,NULL,NULL,Water,NULL,Water,Bareland
111,NULL,NULL,Water,Water,Water,Cropland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL
113,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
114,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
115,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
116,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
117,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
118,NULL,NULL,Forest,NULL,Non_Wetland,Forest
119,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
120,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
