Value,AFRICA_2024_DynamicWorld_2024_37PBT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBT_M_R,AFRICA_2024_GSW_Yearly_2021_37PBT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBT_M_R,AFRICA_2024_WorldCover_2021_37PBT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
19,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
24,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
27,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
28,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
39,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Bareland,Water,Non_Wetland,NULL
41,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
42,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
44,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
48,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
49,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
53,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Forest
55,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
56,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
57,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
58,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
59,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
60,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
67,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
68,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
74,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
75,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
76,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
82,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
83,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
84,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
85,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
87,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
96,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
97,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
99,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
100,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
102,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
103,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
104,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
106,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
107,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
108,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
109,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
110,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
111,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
113,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
115,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
