Value,AFRICA_2024_DynamicWorld_2024_37PFP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFP_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFP_M_R,AFRICA_2024_GSW_Yearly_2021_37PFP_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFP_M_R,AFRICA_2024_WorldCover_2021_37PFP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
50,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
51,NULL,NULL,Wetland,NULL,Wetland,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
57,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,NULL,Wetland,Water,Wetland,NULL
59,NULL,NULL,Wetland,Water,Wetland,Cropland
60,NULL,NULL,Wetland,Water,Wetland,Wetland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
66,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
68,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
73,NULL,NULL,Bareland,NULL,Non_Wetland,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL
80,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
82,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
83,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
85,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
90,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
94,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
95,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
96,NULL,NULL,Water,Water,Water,Cropland
97,NULL,NULL,Water,Water,Water,Wetland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
101,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
102,NULL,NULL,Forest,NULL,Non_Wetland,Forest
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
104,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
105,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
106,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
117,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
