Value,AFRICA_2024_DynamicWorld_2024_37NFH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFH_M_R,AFRICA_2024_GSW_Yearly_2021_37NFH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFH_M_R,AFRICA_2024_WorldCover_2021_37NFH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Water,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
39,NULL,NULL,Cropland,Water,Non_Wetland,Water
40,NULL,NULL,Wetland,NULL,Wetland,Water
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
51,NULL,NULL,Bareland,NULL,Non_Wetland,Water
52,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
53,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
54,NULL,NULL,Bareland,Water,Non_Wetland,Water
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
56,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
59,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
60,NULL,NULL,Water,NULL,Water,Water
61,NULL,NULL,Water,Water,Water,Water
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
65,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
66,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
67,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
68,NULL,NULL,Forest,NULL,Non_Wetland,Water
69,NULL,NULL,Forest,NULL,Non_Wetland,Forest
70,NULL,NULL,Forest,Water,Non_Wetland,Cropland
71,NULL,NULL,Forest,Water,Non_Wetland,Water
72,NULL,NULL,Forest,Water,Non_Wetland,Forest
73,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
74,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
77,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
78,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
79,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
87,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
93,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
94,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
102,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
105,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
106,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
