Value,AFRICA_2024_DynamicWorld_2024_36PVV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVV_M_R,AFRICA_2024_GSW_Yearly_2021_36PVV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVV_M_R,AFRICA_2024_WorldCover_2021_36PVV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL
44,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
46,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
47,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
65,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
66,NULL,NULL,Cropland,Water,Non_Wetland,Forest
67,NULL,NULL,Wetland,NULL,Wetland,NULL
68,NULL,NULL,Wetland,NULL,Wetland,Grassland
69,NULL,NULL,Wetland,NULL,Wetland,Cropland
70,NULL,NULL,Wetland,NULL,Wetland,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,Forest
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL
73,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
74,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
75,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
76,NULL,NULL,Wetland,Non_Water,Wetland,Forest
77,NULL,NULL,Wetland,Water,Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
88,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
90,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
92,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
95,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
96,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
99,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
100,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
104,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
105,NULL,NULL,Forest,NULL,Non_Wetland,Forest
106,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
107,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
111,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
112,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
113,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
114,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
115,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
116,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
117,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
118,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
119,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
