Value,AFRICA_2024_DynamicWorld_2024_37PCT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCT_M_R,AFRICA_2024_GSW_Yearly_2021_37PCT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCT_M_R,AFRICA_2024_WorldCover_2021_37PCT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
24,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,Water,Non_Wetland,Forest
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
27,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Water
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
39,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Water,Non_Wetland,Forest
42,NULL,NULL,Wetland,Water,Wetland,Grassland
43,NULL,NULL,Wetland,Water,Wetland,Cropland
44,NULL,NULL,Wetland,Water,Wetland,Forest
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
51,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
58,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
60,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
62,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
66,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
69,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
70,NULL,NULL,Water,NULL,Water,Grassland
71,NULL,NULL,Water,Non_Water,Water,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,Forest
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
79,NULL,NULL,Forest,Water,Non_Wetland,Cropland
80,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
81,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
95,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
100,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
101,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
102,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
103,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
104,NULL,Cropland,Wetland,Water,Wetland,Cropland
105,NULL,Cropland,Wetland,Water,Wetland,Wetland
106,NULL,Cropland,Wetland,Water,Wetland,Water
107,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
108,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
114,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
117,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
