Value,AFRICA_2024_DynamicWorld_2024_35PQT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQT_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQT_M_R,AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQT_M_R,AFRICA_2024_WorldCover_2021_35PQT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,Water,Non_Wetland,Forest
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
51,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
52,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
57,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
58,NULL,NULL,Forest,NULL,Non_Wetland,Forest
59,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
63,NULL,NULL,Forest,Water,Non_Wetland,Grassland
64,NULL,NULL,Forest,Water,Non_Wetland,Bareland
65,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
68,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
71,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
72,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
73,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
74,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL
75,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
76,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
77,NULL,Wetland,NULL,Water,Non_Wetland,NULL
78,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
79,NULL,Wetland,NULL,Water,Non_Wetland,Forest
80,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
81,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
82,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
83,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
84,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
85,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
86,NULL,Wetland,Cropland,Water,Non_Wetland,Forest
87,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
88,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
89,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
90,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
91,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
92,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
93,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
94,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
95,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
96,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
98,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
99,NULL,Water,NULL,NULL,Non_Wetland,Grassland
100,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
101,NULL,Forest,NULL,NULL,Non_Wetland,NULL
102,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
103,NULL,Forest,NULL,NULL,Non_Wetland,Forest
104,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
105,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
106,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
107,NULL,Forest,NULL,Water,Non_Wetland,NULL
108,NULL,Forest,NULL,Water,Non_Wetland,Grassland
109,NULL,Forest,NULL,Water,Non_Wetland,Forest
110,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
111,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
112,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
113,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
114,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
115,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
117,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
118,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
119,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
