Value,AFRICA_2024_DynamicWorld_2024_35PQM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQM_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQM_M_R,AFRICA_2024_GSW_Yearly_2021_35PQM_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQM_M_R,AFRICA_2024_WorldCover_2021_35PQM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,NULL,Water,Non_Wetland,NULL
15,NULL,NULL,NULL,Water,Non_Wetland,Grassland
16,NULL,NULL,NULL,Water,Non_Wetland,Cropland
17,NULL,NULL,NULL,Water,Non_Wetland,Wetland
18,NULL,NULL,NULL,Water,Non_Wetland,Bareland
19,NULL,NULL,NULL,Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
37,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
39,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
40,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
41,NULL,NULL,Shrubland,Water,Non_Wetland,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
56,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
57,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
58,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
59,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
61,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
64,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
65,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
66,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
71,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
72,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
73,NULL,NULL,Cropland,Water,Non_Wetland,Forest
74,NULL,NULL,Wetland,NULL,Wetland,NULL
75,NULL,NULL,Wetland,NULL,Wetland,Grassland
76,NULL,NULL,Wetland,NULL,Wetland,Cropland
77,NULL,NULL,Wetland,NULL,Wetland,Wetland
78,NULL,NULL,Wetland,NULL,Wetland,Bareland
79,NULL,NULL,Wetland,NULL,Wetland,Water
80,NULL,NULL,Wetland,NULL,Wetland,Forest
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL
82,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
83,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
84,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
85,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
86,NULL,NULL,Wetland,Non_Water,Wetland,Forest
87,NULL,NULL,Wetland,Water,Wetland,NULL
88,NULL,NULL,Wetland,Water,Wetland,Grassland
89,NULL,NULL,Wetland,Water,Wetland,Cropland
90,NULL,NULL,Wetland,Water,Wetland,Wetland
91,NULL,NULL,Wetland,Water,Wetland,Bareland
92,NULL,NULL,Wetland,Water,Wetland,Water
93,NULL,NULL,Wetland,Water,Wetland,Forest
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
97,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
98,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
99,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
100,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
101,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
102,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
105,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
106,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
107,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
108,NULL,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
110,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
113,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
120,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
