Value,AFRICA_2024_DynamicWorld_2024_35PQL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQL_M_R,AFRICA_2024_GSW_Yearly_2021_35PQL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQL_M_R,AFRICA_2024_WorldCover_2021_35PQL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
32,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
37,NULL,NULL,Shrubland,Water,Non_Wetland,Water
38,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
48,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
50,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
55,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL
59,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
60,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,Water
63,NULL,NULL,Wetland,NULL,Wetland,NULL
64,NULL,NULL,Wetland,NULL,Wetland,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,Cropland
66,NULL,NULL,Wetland,NULL,Wetland,Wetland
67,NULL,NULL,Wetland,NULL,Wetland,Bareland
68,NULL,NULL,Wetland,NULL,Wetland,Built-up
69,NULL,NULL,Wetland,NULL,Wetland,Forest
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL
71,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
72,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
73,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
74,NULL,NULL,Wetland,Non_Water,Wetland,Forest
75,NULL,NULL,Wetland,Water,Wetland,NULL
76,NULL,NULL,Wetland,Water,Wetland,Grassland
77,NULL,NULL,Wetland,Water,Wetland,Wetland
78,NULL,NULL,Wetland,Water,Wetland,Bareland
79,NULL,NULL,Wetland,Water,Wetland,Forest
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
93,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
94,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
95,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
97,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
102,NULL,NULL,Built-up,NULL,Non_Wetland,Water
103,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
108,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
109,NULL,NULL,Water,NULL,Water,Grassland
110,NULL,NULL,Water,NULL,Water,Wetland
111,NULL,NULL,Water,Non_Water,Water,Grassland
112,NULL,NULL,Water,Water,Water,Grassland
113,NULL,NULL,Water,Water,Water,Wetland
114,NULL,NULL,Water,Water,Water,Bareland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL
116,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
117,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
118,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
119,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
120,NULL,NULL,Forest,NULL,Non_Wetland,Forest
121,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
