Value,AFRICA_2024_DynamicWorld_2024_36PXQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PXQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXQ_M_R,AFRICA_2024_WorldCover_2021_36PXQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Built-up
52,NULL,NULL,Wetland,NULL,Wetland,Forest
53,NULL,NULL,Wetland,Water,Wetland,Forest
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
60,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Water,Non_Wetland,Water
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
72,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
73,NULL,NULL,Water,NULL,Water,Grassland
74,NULL,NULL,Water,Non_Water,Water,Forest
75,NULL,NULL,Water,Water,Water,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
79,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
80,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
81,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
82,NULL,NULL,Forest,NULL,Non_Wetland,Forest
83,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
84,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
86,NULL,NULL,Forest,Water,Non_Wetland,NULL
87,NULL,NULL,Forest,Water,Non_Wetland,Grassland
88,NULL,NULL,Forest,Water,Non_Wetland,Bareland
89,NULL,NULL,Forest,Water,Non_Wetland,Water
90,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
91,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
95,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
115,NULL,Cropland,Wetland,NULL,Wetland,Grassland
116,NULL,Cropland,Wetland,NULL,Wetland,Forest
117,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
