Value,AFRICA_2024_DynamicWorld_2024_37PDK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDK_M_R,AFRICA_2024_GSW_Yearly_2021_37PDK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDK_M_R,AFRICA_2024_WorldCover_2021_37PDK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,Cropland
61,NULL,NULL,Wetland,NULL,Wetland,Wetland
62,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
63,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,NULL,Wetland,Water,Wetland,NULL
65,NULL,NULL,Wetland,Water,Wetland,Grassland
66,NULL,NULL,Wetland,Water,Wetland,Cropland
67,NULL,NULL,Wetland,Water,Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
71,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
78,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
83,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
85,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
86,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
88,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
96,NULL,NULL,Built-up,Water,Non_Wetland,NULL
97,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
98,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
99,NULL,NULL,Water,NULL,Water,Cropland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL
101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
103,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
104,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
105,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
106,NULL,NULL,Forest,NULL,Non_Wetland,Forest
107,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
109,NULL,NULL,Forest,Water,Non_Wetland,Wetland
110,NULL,NULL,Forest,Water,Non_Wetland,Forest
111,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
112,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
113,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
114,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
115,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
116,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
117,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
118,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
119,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
