Value,AFRICA_2024_DynamicWorld_2024_36PUR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUR_M_R,AFRICA_2024_GSW_Yearly_2021_36PUR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUR_M_R,AFRICA_2024_WorldCover_2021_36PUR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Water
49,NULL,NULL,Cropland,Water,Non_Wetland,Forest
50,NULL,NULL,Wetland,NULL,Wetland,NULL
51,NULL,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,Forest
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL
55,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,NULL,Wetland,Non_Water,Wetland,Forest
58,NULL,NULL,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Wetland
60,NULL,NULL,Wetland,Water,Wetland,Forest
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
65,NULL,NULL,Bareland,NULL,Non_Wetland,Water
66,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
69,NULL,NULL,Bareland,Water,Non_Wetland,Water
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
71,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
75,NULL,NULL,Built-up,NULL,Non_Wetland,Water
76,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
79,NULL,NULL,Built-up,Water,Non_Wetland,Water
80,NULL,NULL,Water,NULL,Water,Grassland
81,NULL,NULL,Water,Water,Water,NULL
82,NULL,NULL,Water,Water,Water,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL
84,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Forest,Water,Non_Wetland,NULL
92,NULL,NULL,Forest,Water,Non_Wetland,Grassland
93,NULL,NULL,Forest,Water,Non_Wetland,Wetland
94,NULL,NULL,Forest,Water,Non_Wetland,Forest
95,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
97,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
105,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
112,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Water
118,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
119,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
120,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
121,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
