Value,AFRICA_2024_DynamicWorld_2024_37NEE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEE_M_R,AFRICA_2024_WorldCover_2021_37NEE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Grassland,Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,NULL,Wetland,Water,Wetland,Grassland
42,NULL,NULL,Wetland,Water,Wetland,Bareland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Water
51,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
52,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Bareland,Water,Non_Wetland,NULL
55,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
57,NULL,NULL,Bareland,Water,Non_Wetland,Water
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
59,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
64,NULL,NULL,Water,NULL,Water,Grassland
65,NULL,NULL,Water,NULL,Water,Bareland
66,NULL,NULL,Water,Non_Water,Water,Grassland
67,NULL,NULL,Water,Water,Water,Grassland
68,NULL,NULL,Water,Water,Water,Bareland
69,NULL,NULL,Water,Water,Water,Water
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
73,NULL,NULL,Forest,NULL,Non_Wetland,Forest
74,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
75,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
83,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
84,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
85,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
86,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
87,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
88,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
89,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
90,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
91,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
92,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
94,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
95,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
96,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
97,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
98,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
99,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
100,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
101,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
102,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
103,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
104,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
106,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
109,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
110,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
111,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
112,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
113,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
114,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
115,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
116,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
117,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
118,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
119,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
