Value,AFRICA_2024_DynamicWorld_2024_35NQF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQF_M_R,AFRICA_2024_GSW_Yearly_2021_35NQF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQF_M_R,AFRICA_2024_WorldCover_2021_35NQF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
13,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
17,NULL,NULL,Wetland,NULL,Wetland,NULL
18,NULL,NULL,Wetland,NULL,Wetland,Grassland
19,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
21,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
22,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
23,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
24,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
25,NULL,NULL,Forest,NULL,Non_Wetland,NULL
26,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
27,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
28,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
29,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
30,NULL,NULL,Forest,NULL,Non_Wetland,Forest
31,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
32,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
33,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
34,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
35,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
36,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
37,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
38,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
39,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
40,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
41,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
42,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
43,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
44,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
45,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
46,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
47,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
48,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
49,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
50,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
51,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
52,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
53,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
54,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
55,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
56,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
57,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
59,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
60,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
61,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
62,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
63,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
64,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
65,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
66,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
67,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
68,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
69,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
70,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
71,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
72,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
73,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
74,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
75,NULL,Forest,NULL,NULL,Non_Wetland,NULL
76,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
77,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
78,NULL,Forest,NULL,NULL,Non_Wetland,Forest
79,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
80,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
82,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
83,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
84,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
85,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
86,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
87,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
88,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
89,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
90,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
91,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
92,NULL,Forest,Forest,NULL,Non_Wetland,NULL
93,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
94,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
95,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
96,NULL,Forest,Forest,NULL,Non_Wetland,Forest
97,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
98,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
99,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
100,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
101,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
102,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
103,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
104,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
105,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
106,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
107,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
108,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
109,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
110,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
111,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
112,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
113,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
114,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
115,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
116,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
117,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
118,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
119,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
