Value,AFRICA_2024_DynamicWorld_2024_37NDJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NDJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDJ_M_R,AFRICA_2024_WorldCover_2021_37NDJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL
45,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
47,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
48,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,Water
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
51,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
56,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL
64,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
65,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
66,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
67,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
68,NULL,NULL,Cropland,Water,Non_Wetland,Water
69,NULL,NULL,Wetland,NULL,Wetland,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Grassland
71,NULL,NULL,Wetland,NULL,Wetland,Cropland
72,NULL,NULL,Wetland,NULL,Wetland,Wetland
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL
74,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
76,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
77,NULL,NULL,Wetland,Water,Wetland,Grassland
78,NULL,NULL,Wetland,Water,Wetland,Cropland
79,NULL,NULL,Wetland,Water,Wetland,Wetland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
86,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
88,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
91,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL
102,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
104,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
106,NULL,NULL,Bareland,Water,Non_Wetland,Water
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
108,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
117,NULL,NULL,Built-up,Water,Non_Wetland,NULL
118,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
