Value,AFRICA_2024_DynamicWorld_2024_36PWQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PWQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWQ_M_R,AFRICA_2024_WorldCover_2021_36PWQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Water,Non_Wetland,Forest
38,NULL,NULL,Wetland,NULL,Wetland,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Wetland
41,NULL,NULL,Wetland,NULL,Wetland,Forest
42,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
43,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
44,NULL,NULL,Wetland,Non_Water,Wetland,Forest
45,NULL,NULL,Wetland,Water,Wetland,Forest
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
54,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
55,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
56,NULL,NULL,Bareland,Water,Non_Wetland,Water
57,NULL,NULL,Bareland,Water,Non_Wetland,Forest
58,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
63,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
64,NULL,NULL,Water,Non_Water,Water,Grassland
65,NULL,NULL,Water,Non_Water,Water,Forest
66,NULL,NULL,Water,Water,Water,Grassland
67,NULL,NULL,Water,Water,Water,Wetland
68,NULL,NULL,Water,Water,Water,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
73,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
79,NULL,NULL,Forest,Water,Non_Wetland,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,Wetland
81,NULL,NULL,Forest,Water,Non_Wetland,Forest
82,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
92,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
93,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
94,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
95,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
100,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
101,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
103,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Water,NULL,Water,Grassland
105,NULL,Cropland,Water,Water,Water,Forest
106,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
107,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
109,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
110,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
111,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
112,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
113,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
114,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
118,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
119,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
120,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
