Value,AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,Cropland
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
52,NULL,NULL,Cropland,NULL,Non_Wetland,Water
53,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
60,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
61,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
62,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
63,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
64,NULL,NULL,Cropland,Water,Non_Wetland,Water
65,NULL,NULL,Cropland,Water,Non_Wetland,Forest
66,NULL,NULL,Wetland,NULL,Wetland,NULL
67,NULL,NULL,Wetland,NULL,Wetland,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,Wetland
69,NULL,NULL,Wetland,NULL,Wetland,Forest
70,NULL,NULL,Wetland,Water,Wetland,Cropland
71,NULL,NULL,Wetland,Water,Wetland,Wetland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
83,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
87,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
88,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
89,NULL,NULL,Water,NULL,Water,Grassland
90,NULL,NULL,Water,Non_Water,Water,Cropland
91,NULL,NULL,Water,Water,Water,Cropland
92,NULL,NULL,Water,Water,Water,Wetland
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL
94,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
95,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
96,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
97,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
98,NULL,NULL,Forest,NULL,Non_Wetland,Forest
99,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
100,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
103,NULL,NULL,Forest,Water,Non_Wetland,Cropland
104,NULL,NULL,Forest,Water,Non_Wetland,Wetland
105,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
106,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
107,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
108,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
109,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
110,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
111,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
112,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
113,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
