Value,AFRICA_2024_DynamicWorld_2024_35PRR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRR_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRR_M_R,AFRICA_2024_GSW_Yearly_2021_35PRR_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRR_M_R,AFRICA_2024_WorldCover_2021_35PRR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
38,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
47,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
48,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Water,NULL,Water,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Forest
53,NULL,NULL,Forest,Water,Non_Wetland,Grassland
54,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
55,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
56,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
59,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
60,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
63,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
64,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
66,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
67,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
68,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
69,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
70,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
71,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
72,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
73,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
74,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
75,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
79,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
81,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
82,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
83,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
87,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
88,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
89,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
90,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
91,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
92,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
93,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
94,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
95,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
96,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
99,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
100,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
101,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
102,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
103,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
104,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
105,NULL,Forest,NULL,NULL,Non_Wetland,NULL
106,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
107,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
108,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
110,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
111,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
112,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
113,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
114,NULL,Forest,Forest,NULL,Non_Wetland,NULL
115,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
116,NULL,Forest,Forest,NULL,Non_Wetland,Forest
117,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
