Value,AFRICA_2024_DynamicWorld_2024_37NDD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDD_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDD_M_R,AFRICA_2024_GSW_Yearly_2021_37NDD_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDD_M_R,AFRICA_2024_WorldCover_2021_37NDD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,Water
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,Water,Wetland,Grassland
51,NULL,NULL,Wetland,Water,Wetland,Cropland
52,NULL,NULL,Wetland,Water,Wetland,Wetland
53,NULL,NULL,Wetland,Water,Wetland,Bareland
54,NULL,NULL,Wetland,Water,Wetland,Water
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL
70,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
72,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
73,NULL,NULL,Bareland,Water,Non_Wetland,Water
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Built-up,Water,Non_Wetland,NULL
83,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
84,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
85,NULL,NULL,Water,NULL,Water,NULL
86,NULL,NULL,Water,NULL,Water,Grassland
87,NULL,NULL,Water,Water,Water,Bareland
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL
89,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
91,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
92,NULL,NULL,Forest,NULL,Non_Wetland,Forest
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
94,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
104,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
105,NULL,Cropland,Grassland,Water,Non_Wetland,NULL
106,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
110,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
111,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
112,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
113,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
117,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
118,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
119,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
