Value,AFRICA_2024_DynamicWorld_2024_36PWV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWV_M_R,AFRICA_2024_GSW_Yearly_2021_36PWV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWV_M_R,AFRICA_2024_WorldCover_2021_36PWV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,NULL,Grassland,Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
65,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
66,NULL,NULL,Cropland,Water,Non_Wetland,Forest
67,NULL,NULL,Wetland,NULL,Wetland,NULL
68,NULL,NULL,Wetland,NULL,Wetland,Grassland
69,NULL,NULL,Wetland,NULL,Wetland,Cropland
70,NULL,NULL,Wetland,NULL,Wetland,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,Forest
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL
73,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
74,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
75,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
76,NULL,NULL,Wetland,Non_Water,Wetland,Forest
77,NULL,NULL,Wetland,Water,Wetland,Cropland
78,NULL,NULL,Wetland,Water,Wetland,Wetland
79,NULL,NULL,Wetland,Water,Wetland,Water
80,NULL,NULL,Wetland,Water,Wetland,Forest
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
89,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
91,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
93,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
95,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
97,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
99,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
100,NULL,NULL,Water,Water,Water,Cropland
101,NULL,NULL,Water,Water,Water,Bareland
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
106,NULL,NULL,Forest,NULL,Non_Wetland,Forest
107,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
112,NULL,NULL,Forest,Water,Non_Wetland,Grassland
113,NULL,NULL,Forest,Water,Non_Wetland,Cropland
114,NULL,NULL,Forest,Water,Non_Wetland,Forest
115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
116,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
117,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
118,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
119,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
120,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
